STATIONS_ID,MESS_DATUM,QN_4,DK_TER,FK_TER,eor
3088,1943062321,5,22,3,eor
3088,1943062407,5,26,3,eor
3088,1943062414,5,26,5,eor
3088,1943062421,5,26,4,eor
3088,1943062507,5,22,4,eor
3088,1943062514,5,26,5,eor
3088,1943062521,5,16,1,eor
3088,1943062607,5,30,3,eor
3088,1943062614,5,26,1,eor
3088,1943062621,5,26,2,eor
3088,1943062707,5,28,3,eor
3088,1943062714,5,24,4,eor
3088,1943062721,5,22,3,eor
3088,1943062807,5,30,2,eor
3088,1943062814,5,30,4,eor
3088,1943062821,5,26,2,eor
3088,1943062907,5,26,2,eor
3088,1943062914,5,28,4,eor
3088,1943062921,5,4,3,eor
3088,1943063007,5,28,2,eor
3088,1943063014,5,28,4,eor
3088,1943063021,5,2,1,eor
3088,1943070107,5,28,3,eor
3088,1943070114,5,2,3,eor
3088,1943070121,5,4,1,eor
3088,1943070207,5,28,3,eor
3088,1943070214,5,20,3,eor
3088,1943070221,5,24,3,eor
3088,1943070307,5,24,3,eor
3088,1943070314,5,22,3,eor
3088,1943070321,5,20,2,eor
3088,1943070407,5,22,2,eor
3088,1943070414,5,22,4,eor
3088,1943070421,5,22,6,eor
3088,1943070507,5,20,3,eor
3088,1943070514,5,28,5,eor
3088,1943070521,5,26,2,eor
3088,1943070607,5,18,1,eor
3088,1943070614,5,18,1,eor
3088,1943070621,5,10,1,eor
3088,1943070707,5,18,2,eor
3088,1943070714,5,24,5,eor
3088,1943070721,5,20,3,eor
3088,1943070807,5,20,5,eor
3088,1943070814,5,22,5,eor
3088,1943070821,5,22,1,eor
3088,1943070907,5,20,4,eor
3088,1943070914,5,24,3,eor
3088,1943070921,5,22,2,eor
3088,1943071007,5,18,2,eor
3088,1943071014,5,22,3,eor
3088,1943071021,5,24,4,eor
3088,1943071107,5,20,2,eor
3088,1943071114,5,18,3,eor
3088,1943071121,5,18,2,eor
3088,1943071207,5,20,3,eor
3088,1943071214,5,22,4,eor
3088,1943071221,5,26,1,eor
3088,1943071307,5,22,3,eor
3088,1943071314,5,24,6,eor
3088,1943071321,5,20,3,eor
3088,1943071407,5,22,4,eor
3088,1943071414,5,26,6,eor
3088,1943071421,5,24,2,eor
3088,1943071507,5,20,3,eor
3088,1943071514,5,20,4,eor
3088,1943071521,5,20,1,eor
3088,1943071607,5,20,3,eor
3088,1943071614,5,24,4,eor
3088,1943071621,5,24,3,eor
3088,1943071707,5,24,3,eor
3088,1943071714,5,26,4,eor
3088,1943071721,5,26,4,eor
3088,1943071807,5,26,2,eor
3088,1943071814,5,2,1,eor
3088,1943071821,5,26,2,eor
3088,1943071907,5,26,2,eor
3088,1943071914,5,32,2,eor
3088,1943071921,5,4,2,eor
3088,1943072007,5,4,2,eor
3088,1943072014,5,2,4,eor
3088,1943072021,5,2,1,eor
3088,1943072107,5,22,1,eor
3088,1943072114,5,28,4,eor
3088,1943072121,5,2,1,eor
3088,1943072207,5,22,1,eor
3088,1943072214,5,28,2,eor
3088,1943072221,5,22,3,eor
3088,1943072307,5,30,3,eor
3088,1943072314,5,28,3,eor
3088,1943072321,5,0,0,eor
3088,1943072407,5,24,2,eor
3088,1943072414,5,26,1,eor
3088,1943072421,5,4,1,eor
3088,1943072507,5,28,1,eor
3088,1943072514,5,10,2,eor
3088,1943072521,5,8,2,eor
3088,1943072607,5,32,1,eor
3088,1943072614,5,20,3,eor
3088,1943072621,5,4,1,eor
3088,1943072707,5,4,1,eor
3088,1943072714,5,2,3,eor
3088,1943072721,5,2,2,eor
3088,1943072807,5,2,2,eor
3088,1943072814,5,6,1,eor
3088,1943072821,5,6,1,eor
3088,1943072907,5,20,2,eor
3088,1943072914,5,4,3,eor
3088,1943072921,5,28,2,eor
3088,1943073007,5,24,1,eor
3088,1943073014,5,2,3,eor
3088,1943073021,5,28,1,eor
3088,1943073107,5,28,2,eor
3088,1943073114,5,4,1,eor
3088,1943073121,5,6,1,eor
3088,1943080107,5,12,1,eor
3088,1943080114,5,14,3,eor
3088,1943080121,5,24,1,eor
3088,1943080207,5,20,3,eor
3088,1943080214,5,20,4,eor
3088,1943080221,5,24,2,eor
3088,1943080307,5,4,1,eor
3088,1943080314,5,2,3,eor
3088,1943080321,5,2,1,eor
3088,1943080407,5,28,3,eor
3088,1943080414,5,20,1,eor
3088,1943080421,5,6,2,eor
3088,1943080507,5,22,3,eor
3088,1943080514,5,20,4,eor
3088,1943080521,5,20,1,eor
3088,1943080607,5,20,4,eor
3088,1943080614,5,20,4,eor
3088,1943080621,5,16,2,eor
3088,1943080707,5,24,3,eor
3088,1943080714,5,26,3,eor
3088,1943080721,5,26,4,eor
3088,1943080807,5,18,5,eor
3088,1943080814,5,20,5,eor
3088,1943080821,5,20,4,eor
3088,1943080907,5,20,3,eor
3088,1943080914,5,26,6,eor
3088,1943080921,5,24,5,eor
3088,1943081007,5,24,3,eor
3088,1943081014,5,24,5,eor
3088,1943081021,5,22,3,eor
3088,1943081107,5,12,2,eor
3088,1943081114,5,22,3,eor
3088,1943081121,5,22,2,eor
3088,1943081207,5,24,4,eor
3088,1943081214,5,26,7,eor
3088,1943081221,5,22,3,eor
3088,1943081307,5,22,3,eor
3088,1943081314,5,18,2,eor
3088,1943081321,5,18,3,eor
3088,1943081407,5,22,3,eor
3088,1943081414,5,22,9,eor
3088,1943081421,5,22,6,eor
3088,1943081507,5,22,3,eor
3088,1943081514,5,26,2,eor
3088,1943081521,5,22,2,eor
3088,1943081607,5,18,3,eor
3088,1943081614,5,22,4,eor
3088,1943081621,5,20,2,eor
3088,1943081707,5,26,1,eor
3088,1943081714,5,28,3,eor
3088,1943081721,5,26,1,eor
3088,1943081807,5,28,1,eor
3088,1943081814,5,12,3,eor
3088,1943081821,5,16,2,eor
3088,1943081907,5,22,3,eor
3088,1943081914,5,24,4,eor
3088,1943081921,5,2,1,eor
3088,1943082007,5,8,2,eor
3088,1943082014,5,26,1,eor
3088,1943082021,5,6,1,eor
3088,1943082107,5,8,1,eor
3088,1943082114,5,12,3,eor
3088,1943082121,5,14,1,eor
3088,1943082207,5,22,1,eor
3088,1943082214,5,22,2,eor
3088,1943082221,5,26,1,eor
3088,1943082307,5,24,2,eor
3088,1943082314,5,20,4,eor
3088,1943082321,5,20,1,eor
3088,1943082407,5,12,1,eor
3088,1943082414,5,24,2,eor
3088,1943082421,5,6,1,eor
3088,1943082507,5,4,1,eor
3088,1943082514,5,12,2,eor
3088,1943082521,5,4,1,eor
3088,1943082607,5,20,2,eor
3088,1943082614,5,4,2,eor
3088,1943082621,5,6,1,eor
3088,1943082707,5,22,4,eor
3088,1943082714,5,20,5,eor
3088,1943082721,5,20,3,eor
3088,1943082807,5,20,3,eor
3088,1943082814,5,18,2,eor
3088,1943082821,5,18,2,eor
3088,1943082907,5,26,2,eor
3088,1943082914,5,26,3,eor
3088,1943082921,5,22,1,eor
3088,1943083007,5,20,4,eor
3088,1943083014,5,22,4,eor
3088,1943083021,5,22,1,eor
3088,1943083107,5,20,3,eor
3088,1943083114,5,28,4,eor
3088,1943083121,5,26,1,eor
3088,1943090107,5,24,2,eor
3088,1943090114,5,2,2,eor
3088,1943090121,5,4,1,eor
3088,1943090207,5,12,1,eor
3088,1943090214,5,14,2,eor
3088,1943090221,5,6,1,eor
3088,1943090307,5,2,1,eor
3088,1943090314,5,4,1,eor
3088,1943090321,5,30,1,eor
3088,1943090407,5,30,2,eor
3088,1943090414,5,4,3,eor
3088,1943090421,5,4,2,eor
3088,1943090507,5,28,1,eor
3088,1943090514,5,6,1,eor
3088,1943090521,5,0,0,eor
3088,1943090607,5,12,2,eor
3088,1943090614,5,12,3,eor
3088,1943090621,5,20,1,eor
3088,1943090707,5,18,2,eor
3088,1943090714,5,18,3,eor
3088,1943090721,5,0,0,eor
3088,1943090807,5,8,1,eor
3088,1943090814,5,28,2,eor
3088,1943090821,5,26,2,eor
3088,1943090907,5,24,2,eor
3088,1943090914,5,28,3,eor
3088,1943090921,5,28,1,eor
3088,1943091007,5,32,1,eor
3088,1943091014,5,6,2,eor
3088,1943091021,5,6,1,eor
3088,1943091107,5,4,1,eor
3088,1943091114,5,4,4,eor
3088,1943091121,5,12,2,eor
3088,1943091207,5,10,3,eor
3088,1943091214,5,8,3,eor
3088,1943091221,5,4,1,eor
3088,1943091307,5,4,1,eor
3088,1943091314,5,12,3,eor
3088,1943091321,5,12,3,eor
3088,1943091407,5,14,1,eor
3088,1943091414,5,20,3,eor
3088,1943091421,5,22,1,eor
3088,1943091507,5,16,2,eor
3088,1943091514,5,22,4,eor
3088,1943091521,5,20,5,eor
3088,1943091607,5,18,3,eor
3088,1943091614,5,20,4,eor
3088,1943091621,5,20,2,eor
3088,1943091707,5,16,1,eor
3088,1943091714,5,12,2,eor
3088,1943091721,5,12,2,eor
3088,1943091807,5,8,1,eor
3088,1943091814,5,26,2,eor
3088,1943091821,5,24,1,eor
3088,1943091907,5,22,1,eor
3088,1943091914,5,22,3,eor
3088,1943091921,5,0,0,eor
3088,1943092007,5,16,2,eor
3088,1943092014,5,20,5,eor
3088,1943092021,5,20,3,eor
3088,1943092107,5,22,3,eor
3088,1943092114,5,24,4,eor
3088,1943092121,5,20,4,eor
3088,1943092207,5,22,3,eor
3088,1943092214,5,26,5,eor
3088,1943092221,5,24,3,eor
3088,1943092307,5,20,4,eor
3088,1943092314,5,20,5,eor
3088,1943092321,5,20,5,eor
3088,1943092407,5,20,4,eor
3088,1943092414,5,20,3,eor
3088,1943092421,5,20,2,eor
3088,1943092507,5,18,2,eor
3088,1943092514,5,18,3,eor
3088,1943092521,5,4,1,eor
3088,1943092607,5,20,3,eor
3088,1943092614,5,24,3,eor
3088,1943092621,5,24,2,eor
3088,1943092707,5,20,3,eor
3088,1943092714,5,22,3,eor
3088,1943092721,5,18,2,eor
3088,1943092807,5,14,2,eor
3088,1943092814,5,12,3,eor
3088,1943092821,5,10,1,eor
3088,1943092907,5,10,2,eor
3088,1943092914,5,14,2,eor
3088,1943092921,5,0,0,eor
3088,1943093007,5,20,1,eor
3088,1943093014,5,20,3,eor
3088,1943093021,5,20,3,eor
3088,1943100107,5,20,3,eor
3088,1943100114,5,22,4,eor
3088,1943100121,5,20,3,eor
3088,1943100207,5,18,3,eor
3088,1943100214,5,20,3,eor
3088,1943100221,5,22,1,eor
3088,1943100307,5,20,3,eor
3088,1943100314,5,20,5,eor
3088,1943100321,5,20,3,eor
3088,1943100407,5,18,5,eor
3088,1943100414,5,22,7,eor
3088,1943100421,5,20,7,eor
3088,1943100507,5,20,3,eor
3088,1943100514,5,20,4,eor
3088,1943100521,5,20,5,eor
3088,1943100607,5,18,4,eor
3088,1943100614,5,20,4,eor
3088,1943100621,5,16,1,eor
3088,1943100707,5,16,2,eor
3088,1943100714,5,32,3,eor
3088,1943100721,5,28,3,eor
3088,1943100807,5,24,1,eor
3088,1943100814,5,10,2,eor
3088,1943100821,5,32,1,eor
3088,1943100907,5,4,1,eor
3088,1943100914,5,6,2,eor
3088,1943100921,5,0,0,eor
3088,1943101007,5,10,1,eor
3088,1943101014,5,10,3,eor
3088,1943101021,5,8,2,eor
3088,1943101107,5,8,2,eor
3088,1943101114,5,12,2,eor
3088,1943101121,5,12,2,eor
3088,1943101207,5,2,1,eor
3088,1943101214,5,12,3,eor
3088,1943101221,5,10,2,eor
3088,1943101307,5,10,2,eor
3088,1943101314,5,12,2,eor
3088,1943101321,5,12,2,eor
3088,1943101407,5,2,1,eor
3088,1943101414,5,8,3,eor
3088,1943101421,5,6,1,eor
3088,1943101507,5,6,2,eor
3088,1943101514,5,8,3,eor
3088,1943101521,5,10,2,eor
3088,1943101607,5,14,1,eor
3088,1943101614,5,10,1,eor
3088,1943101621,5,8,1,eor
3088,1943101707,5,12,1,eor
3088,1943101714,5,12,2,eor
3088,1943101721,5,12,3,eor
3088,1943101807,5,4,1,eor
3088,1943101814,5,8,2,eor
3088,1943101821,5,12,1,eor
3088,1943101907,5,4,1,eor
3088,1943101914,5,8,2,eor
3088,1943101921,5,14,1,eor
3088,1943102007,5,16,2,eor
3088,1943102014,5,16,4,eor
3088,1943102021,5,24,1,eor
3088,1943102107,5,14,2,eor
3088,1943102114,5,18,3,eor
3088,1943102121,5,12,3,eor
3088,1943102207,5,16,4,eor
3088,1943102214,5,22,3,eor
3088,1943102221,5,20,1,eor
3088,1943102307,5,14,2,eor
3088,1943102314,5,14,2,eor
3088,1943102321,5,14,3,eor
3088,1943102407,5,22,4,eor
3088,1943102414,5,20,2,eor
3088,1943102421,5,18,1,eor
3088,1943102507,5,2,1,eor
3088,1943102514,5,32,2,eor
3088,1943102521,5,4,4,eor
3088,1943102607,5,4,2,eor
3088,1943102614,5,6,3,eor
3088,1943102621,5,8,2,eor
3088,1943102707,5,12,3,eor
3088,1943102714,5,10,2,eor
3088,1943102721,5,8,2,eor
3088,1943102807,5,8,1,eor
3088,1943102814,5,6,2,eor
3088,1943102821,5,6,1,eor
3088,1943102907,5,8,1,eor
3088,1943102914,5,4,2,eor
3088,1943102921,5,4,1,eor
3088,1943103007,5,8,1,eor
3088,1943103014,5,12,3,eor
3088,1943103021,5,6,1,eor
3088,1943103107,5,12,2,eor
3088,1943103114,5,12,2,eor
3088,1943103121,5,12,2,eor
3088,1943110107,5,8,2,eor
3088,1943110114,5,4,1,eor
3088,1943110121,5,8,1,eor
3088,1943110207,5,4,1,eor
3088,1943110214,5,8,1,eor
3088,1943110221,5,4,2,eor
3088,1943110307,5,2,1,eor
3088,1943110314,5,2,2,eor
3088,1943110321,5,4,1,eor
3088,1943110407,5,4,3,eor
3088,1943110414,5,6,3,eor
3088,1943110421,5,6,2,eor
3088,1943110507,5,6,1,eor
3088,1943110514,5,8,3,eor
3088,1943110521,5,10,1,eor
3088,1943110607,5,14,3,eor
3088,1943110614,5,12,3,eor
3088,1943110621,5,12,2,eor
3088,1943110707,5,6,2,eor
3088,1943110714,5,6,2,eor
3088,1943110721,5,10,1,eor
3088,1943110807,5,16,2,eor
3088,1943110814,5,18,3,eor
3088,1943110821,5,18,2,eor
3088,1943110907,5,20,2,eor
3088,1943110914,5,18,2,eor
3088,1943110921,5,18,1,eor
3088,1943111007,5,16,2,eor
3088,1943111014,5,20,3,eor
3088,1943111021,5,20,4,eor
3088,1943111107,5,20,4,eor
3088,1943111114,5,24,3,eor
3088,1943111121,5,22,2,eor
3088,1943111207,5,18,3,eor
3088,1943111214,5,20,4,eor
3088,1943111221,5,22,5,eor
3088,1943111307,5,22,4,eor
3088,1943111314,5,20,6,eor
3088,1943111321,5,24,3,eor
3088,1943111407,5,18,1,eor
3088,1943111414,5,20,1,eor
3088,1943111421,5,20,4,eor
3088,1943111507,5,18,3,eor
3088,1943111514,5,18,2,eor
3088,1943111521,5,20,1,eor
3088,1943111607,5,18,2,eor
3088,1943111614,5,26,1,eor
3088,1943111621,5,20,3,eor
3088,1943111707,5,12,2,eor
3088,1943111714,5,12,2,eor
3088,1943111721,5,12,1,eor
3088,1943111807,5,12,1,eor
3088,1943111814,5,0,0,eor
3088,1943111821,5,0,0,eor
3088,1943111907,5,6,2,eor
3088,1943111914,5,8,3,eor
3088,1943111921,5,12,1,eor
3088,1943112007,5,28,1,eor
3088,1943112014,5,22,2,eor
3088,1943112021,5,20,2,eor
3088,1943112107,5,20,4,eor
3088,1943112114,5,16,2,eor
3088,1943112121,5,16,1,eor
3088,1943112207,5,16,2,eor
3088,1943112214,5,20,3,eor
3088,1943112221,5,20,3,eor
3088,1943112307,5,22,3,eor
3088,1943112314,5,20,3,eor
3088,1943112321,5,22,4,eor
3088,1943112407,5,16,4,eor
3088,1943112414,5,16,5,eor
3088,1943112421,5,12,4,eor
3088,1943112507,5,18,4,eor
3088,1943112514,5,22,4,eor
3088,1943112521,5,22,6,eor
3088,1943112607,5,22,7,eor
3088,1943112614,5,20,5,eor
3088,1943112621,5,20,5,eor
